[RUN] id=20260213_230032 epochs=20 emb_dim=512 verif_interval=5000
[RUN] train_log_interval=1000 num_classes=85742
[RUN] train_log=logs/train/train_20260213_230032.log test_log=logs/test/test_20260213_230032.log
[RUN] torchao_int8=True
step=1000 epoch=1 loss=45.9789 acc=0.000010 lr=0.01
step=2000 epoch=1 loss=45.5893 acc=0.000018 lr=0.01
step=3000 epoch=1 loss=44.8497 acc=0.000043 lr=0.01
step=4000 epoch=1 loss=44.2467 acc=0.000060 lr=0.01
step=5000 epoch=1 loss=43.8288 acc=0.000071 lr=0.01
step=6000 epoch=1 loss=43.5214 acc=0.000080 lr=0.01
step=7000 epoch=1 loss=43.3062 acc=0.000087 lr=0.01
step=8000 epoch=1 loss=43.1434 acc=0.000092 lr=0.01
step=9000 epoch=1 loss=43.0163 acc=0.000098 lr=0.01
step=10000 epoch=1 loss=42.9147 acc=0.000104 lr=0.01
step=11000 epoch=1 loss=42.8301 acc=0.000111 lr=0.01
step=12000 epoch=1 loss=42.7587 acc=0.000125 lr=0.01
step=13000 epoch=1 loss=42.6964 acc=0.000134 lr=0.01
step=14000 epoch=1 loss=42.6410 acc=0.000141 lr=0.01
step=15000 epoch=1 loss=42.5895 acc=0.000152 lr=0.01
step=16000 epoch=1 loss=42.5398 acc=0.000160 lr=0.01
step=17000 epoch=1 loss=42.4918 acc=0.000171 lr=0.01
step=18000 epoch=1 loss=42.4457 acc=0.000188 lr=0.01
step=19000 epoch=1 loss=42.4017 acc=0.000206 lr=0.01
step=20000 epoch=1 loss=42.3600 acc=0.000223 lr=0.01
step=21000 epoch=1 loss=42.3204 acc=0.000243 lr=0.01
step=22000 epoch=1 loss=42.2829 acc=0.000262 lr=0.01
step=23000 epoch=1 loss=42.2463 acc=0.000289 lr=0.01
step=24000 epoch=1 loss=42.2101 acc=0.000320 lr=0.01
step=25000 epoch=1 loss=42.1736 acc=0.000355 lr=0.01
step=26000 epoch=1 loss=42.1369 acc=0.000395 lr=0.01
step=27000 epoch=1 loss=42.0987 acc=0.000454 lr=0.01
step=28000 epoch=1 loss=42.0589 acc=0.000528 lr=0.01
step=29000 epoch=1 loss=42.0173 acc=0.000620 lr=0.01
step=30000 epoch=1 loss=41.9731 acc=0.000751 lr=0.01
epoch=1 train_loss=41.9567 train_acc=0.000805 epoch_time=3215.2s ETA=16:58:08
step=31000 epoch=2 loss=40.5311 acc=0.006756 lr=0.01
step=32000 epoch=2 loss=40.4000 acc=0.008203 lr=0.01
step=33000 epoch=2 loss=40.2938 acc=0.009789 lr=0.01
step=34000 epoch=2 loss=40.1903 acc=0.011896 lr=0.01
step=35000 epoch=2 loss=40.0825 acc=0.014490 lr=0.01
step=36000 epoch=2 loss=39.9725 acc=0.017633 lr=0.01
step=37000 epoch=2 loss=39.8576 acc=0.021594 lr=0.01
step=38000 epoch=2 loss=39.7405 acc=0.026336 lr=0.01
step=39000 epoch=2 loss=39.6192 acc=0.031953 lr=0.01
step=40000 epoch=2 loss=39.4927 acc=0.038677 lr=0.01
step=41000 epoch=2 loss=39.3627 acc=0.046462 lr=0.01
step=42000 epoch=2 loss=39.2260 acc=0.055735 lr=0.01
step=43000 epoch=2 loss=39.0859 acc=0.066243 lr=0.01
step=44000 epoch=2 loss=38.9394 acc=0.078027 lr=0.01
step=45000 epoch=2 loss=38.7861 acc=0.091009 lr=0.01
step=46000 epoch=2 loss=38.6271 acc=0.105142 lr=0.01
step=47000 epoch=2 loss=38.4611 acc=0.120234 lr=0.01
step=48000 epoch=2 loss=38.2880 acc=0.136208 lr=0.01
step=49000 epoch=2 loss=38.1070 acc=0.152896 lr=0.01
step=50000 epoch=2 loss=37.9189 acc=0.169955 lr=0.01
step=51000 epoch=2 loss=37.7236 acc=0.187212 lr=0.01
step=52000 epoch=2 loss=37.5214 acc=0.204478 lr=0.01
step=53000 epoch=2 loss=37.3135 acc=0.221722 lr=0.01
step=54000 epoch=2 loss=37.0963 acc=0.238766 lr=0.01
step=55000 epoch=2 loss=36.8700 acc=0.255540 lr=0.01
step=56000 epoch=2 loss=36.6354 acc=0.271997 lr=0.01
